date;time;who;category;why
12/8/2020;07:30;Lua;alegria;entro corriendo a la pieza
12/8/2020;09:30;Lua;enojo;corrio a la gata
12/8/2020;11:00;Lua;enojo;rompio una maseta
12/8/2020;12:00;Lua;enojo;robo a los vecinos
12/8/2020;12:05;Lua;enojo;vomito
12/8/2020;15:00;Lua;alegria;me recibio con alegria
12/8/2020;16:00;Lua;enojo;corrio a la gata
12/8/2020;16:00;Lisa;alegria;hizo caso en el parque
12/8/2020;16:00;Lisa;enojo;tiro la maseta
12/8/2020;19:00;Lua;alegria;hizo caso en el parque
12/8/2020;20:00;Lua;enojo;mordio jugando
12/8/2020;20:53;Lua;alegria;se comio un bicho de la ventana
13/8/2020;08:30;Lua;alegria ;me recibio con alegria
13/8/2020;11:00;Lua;enojo;corrio a la gata
13/8/2020;15:00;Lua;enojo;se robo dos macetas
13/8/2020;16:30;Lua;enojo;corrio a transeuntes
13/8/2020;17:30;Lua;enojo;corrio a transeuntes
14/8/2020;16:30;Lua;enojo;corrio a la gata
14/8/2020;19:00;Lua;alegria;me recibio con alegria
15/8/2020;11:00;Lua;enojo;rompio una media
15/8/2020;15:00;Lua;enojo;corrio a transeuntes
15/8/2020;18:00;Lua;enojo;comio caca de caballo
15/8/2020;19:00;Lua;enojo;ladro a los vecinos
16/8/2020;08:30;Lua;alegria;me recibio con alegria
16/8/2020;08:30;Lua;alegria;hizo caso en el parque
16/8/2020;10:30;Lua;enojo;corrio a la gata
16/8/2020;13:00;Lua;enojo;ladro a los vecinos
16/8/2020;16:00;Lua;enojo;ladro a los vecinos
16/8/2020;17:00;Lua;enojo;se escapo y no hizo caso
16/8/2020;20:00;Lua;enojo;ladro a los vecinos
17/8/2020;08:00;Lua;alegria;me recibio con alegria
17/8/2020;11:00;Lua;enojo;corrio a la gata
17/8/2020;14:00;Lua;enojo;corrio a la gata
17/8/2020;15:00;Lua;enojo;se robo dos macetas
17/8/2020;16:30;Lua;enojo;corrio a transeuntes
17/8/2020;18:00;Lisa;alegria;corrio a la perra
18/8/2020;08:00;Lua;alegria;me recibio con alegria
18/8/2020;11:00;Lua;enojo;corrio a la gata
18/8/2020;16:30;Lua;enojo;se subio al sillon
18/8/2020;17:30;Lua;enojo;corrio a la gata
19/8/2020;07:40;Lua;enojo;robo comida de la mesa
19/8/2020;11:00;Lisa;enojo;escupio la pastilla
19/8/2020;10:00;Lua;alegria;me recibio con alegria
19/8/2020;10:30;Lua;enojo;corrio a la gata
19/8/2020;11:00;Lisa;enojo;tiro la maseta
19/8/2020;14:50;Lua;enojo;corrio a transeuntes
19/8/2020;15:00;Lua;enojo;corrio a la gata
20/8/2020;11:00;Lua;enojo;tarascon a la cara
20/8/2020;13:00;Lisa;enojo;robo comida de la perra
20/8/2020;14:00;Lisa;enojo;escupio la pastilla
20/8/2020;16:30;Lua;enojo;tiro la cortina
20/8/2020;18:30;Lua;enojo;se tiro contra la puerta
20/8/2020;19:00;Lua;enojo;ladro a los vecinos
20/8/2020;19:30;Lua;enojo;mordio la campera
21/8/2020;08:30;Lua;alegria;me recibio con alegria
21/8/2020;16:30;Lua;enojo;corrio a la gata
21/8/2020;17:30;Lua;enojo;comio caca de la gata
21/8/2020;20:00;Lua;enojo;se subio al sillon
